,NUTS_ID,NUTS_NAME,NAME_LATN,GDP_VALUE,geometry,centroid_lon,centroid_lat,LISA_VALUE,LISA_sig,LISA_p_values,LISA_quadrant
0,AL01,Veri,Veri,6635.714285714285,"POLYGON ((5129579.17 2204098.7522, 5148385.4728999995 2216598.8893999998, 5165992.5974 2201592.3346999995, 5186560.0099 2184200.1032, 5197756.7107 2164589.9450000003, 5198543.8881 2159651.9035, 5200419.919600001 2147880.021299999, 5198279.4438000005 2144087.0679, 5196828.9519 2130111.2062, 5198696.782299999 2124244.0787000004, 5200292.4789 2119235.7039, 5201644.286499999 2114995.650699999, 5195408.3268 2109825.944700001, 5202717.372099999 2095259.0600000005, 5200756.984200001 2085264.6585000008, 5193162.077299999 2091456.2858000007, 5178238.968 2085653.9049999993, 5148777.300100001 2099959.2781000007, 5145283.2804000005 2092742.1169000007, 5133366.020099999 2087125.6245000008, 5127201.583000001 2086969.6688, 5126493.474300001 2071784.4684999995, 5119478.1247000005 2069006.5493, 5110833.661800001 2079132.8055000007, 5118781.2772 2103409.3906999994, 5118788.1194 2108300.4417000003, 5118794.167199999 2113523.9749999996, 5118803.291300001 2125879.444700001, 5112296.8686999995 2131907.9163000006, 5100056.775800001 2130793.9449000005, 5098531.9059999995 2146315.308700001, 5097477.099300001 2157026.7430000007, 5091154.828 2171569.6834999993, 5101050.230799999 2193020.534600001, 5110618.283500001 2213952.4867000002, 5118871.689200001 2221247.9744000006, 5119326.2574000005 2221650.6213000007, 5119512.2916 2221331.400800001, 5129579.17 2204098.7522))",5147918.319297714,2148187.9813143956,1.9594489498290042,Significant,0.001,3
1,AL02,Qender,Qender,10042.857142857143,"POLYGON ((5148777.300100001 2099959.2781000007, 5178238.968 2085653.9049999993, 5193162.077299999 2091456.2858000007, 5200756.984200001 2085264.6585000008, 5211962.695699999 2061668.541099999, 5211552.4877 2055644.1744, 5198004.159499999 2045397.5788000003, 5202806.013599999 2023843.8851999994, 5191869.641899999 2018060.9715, 5154742.5276 2028889.1999999993, 5152923.2161 2029426.2664, 5135576.149800001 2047205.5122999996, 5116607.961300001 2038729.2128999997, 5119478.1247000005 2069006.5493, 5126493.474300001 2071784.4684999995, 5127201.583000001 2086969.6688, 5133366.020099999 2087125.6245000008, 5145283.2804000005 2092742.1169000007, 5148777.300100001 2099959.2781000007))",5166092.179250333,2059373.925139453,1.4663975872999009,Significant,0.001,3
2,AL03,Jug,Jug,7808.333333333333,"POLYGON ((5247352.797800001 2040320.5046999995, 5257241.4647 2015037.9755000006, 5237775.048 1982254.042199999, 5227594.233899999 1950737.2138999999, 5213976.5337000005 1946542.9615000002, 5207131.423900001 1936879.7466000002, 5212814.773399999 1916169.5964000002, 5204901.861400001 1917791.1150000002, 5205929.4684 1908629.0675000008, 5200528.617900001 1900589.7510000002, 5181493.3478999995 1901093.3912000004, 5177346.5962000005 1919197.706700001, 5165730.1533 1934638.2891000006, 5121064.127900001 1962663.2299000006, 5125881.361300001 1976728.5896000005, 5110688.655200001 1998344.0128000006, 5116607.961300001 2038729.2128999997, 5135576.149800001 2047205.5122999996, 5152923.2161 2029426.2664, 5154742.5276 2028889.1999999993, 5191869.641899999 2018060.9715, 5202806.013599999 2023843.8851999994, 5198004.159499999 2045397.5788000003, 5211552.4877 2055644.1744, 5211962.695699999 2061668.541099999, 5218147.243000001 2059945.0701000001, 5225902.491900001 2045625.2804000005, 5234386.400699999 2046491.7477000002, 5247352.797800001 2040320.5046999995))",5183506.850186139,1987413.6277764738,1.5346713503795435,Significant,0.002,3
3,AT11,Burgenland,Burgenland,22521.739130434784,"POLYGON ((4846489.8573 2803511.3914, 4854633.2936 2791782.4586999994, 4848182.930199999 2758424.007200001, 4831130.8323 2754284.3971999995, 4815471.18 2758594.6459, 4802912.6987 2748897.5074000005, 4821820.7984 2743038.7753, 4821838.7709 2726165.9716, 4806751.430600001 2714374.6019, 4812740.354599999 2687723.0766000003, 4810258.654200001 2677111.2202000003, 4800025.597100001 2673793.8384000007, 4786947.8336 2658724.9250000007, 4778298.5133 2654263.0853000004, 4785713.0998 2673003.2632, 4776791.9191 2712431.4378999993, 4786359.1337 2720266.3476, 4794232.3982 2724666.8182999995, 4799461.1095 2746013.3567999993, 4794492.8671 2758158.7359999996, 4798615.8835 2772722.7161999997, 4805034.1021 2779100.0143999998, 4813148.559699999 2777119.8232000005, 4830660.8871 2794709.8901000004, 4841049.4728 2794508.9826999996, 4846489.8573 2803511.3914))",4811631.519902774,2736034.4498232855,-0.0212713145613461,Non-Significant,0.21,2
4,AT12,Niederösterreich,Niederösterreich,27095.652173913044,"POLYGON ((4742889.3682 2876362.7248, 4783217.797599999 2866474.0178999994, 4802272.2919 2876131.341499999, 4826938.591700001 2867717.001, 4832035.225400001 2857836.831599999, 4833565.827299999 2848880.935799999, 4827291.811899999 2837437.805400001, 4839232.970000001 2808802.6084000003, 4846489.8573 2803511.3914, 4841049.4728 2794508.9826999996, 4830660.8871 2794709.8901000004, 4813148.559699999 2777119.8232000005, 4805034.1021 2779100.0143999998, 4798615.8835 2772722.7161999997, 4794492.8671 2758158.7359999996, 4799461.1095 2746013.3567999993, 4794232.3982 2724666.8182999995, 4786359.1337 2720266.3476, 4780029.485200001 2728347.4551999997, 4760796.640699999 2734593.8402999993, 4750867.4233 2744836.3982999995, 4723072.4749 2758571.9596999995, 4711804.5307 2756071.9159999993, 4702486.772700001 2749484.1655, 4680014.4482 2746538.018100001, 4676275.6162 2748475.8258999996, 4675665.1109 2764056.0321999993, 4659253.963099999 2774810.9908000007, 4654776.8215 2787028.4026999995, 4656732.846899999 2801817.7792000007, 4675427.5437 2796440.8738, 4689776.2969 2805059.8488999996, 4688301.636499999 2819349.191400001, 4680267.486500001 2833529.7031999994, 4666960.763 2841107.5930000003, 4671696.735300001 2855478.0228000004, 4683800.216 2865231.0216000006, 4688408.726500001 2889033.9690000005, 4726983.6402 2881333.1931999996, 4742889.3682 2876362.7248), (4780681.6302000005 2803583.5084000006, 4810026.3159 2802881.3099000007, 4805208.368100001 2815402.4612000007, 4796625.635 2819975.155200001, 4782534.532400001 2811756.030099999, 4780681.6302000005 2803583.5084000006))",4748502.703886828,2811574.161546862,0.14503316667288113,Non-Significant,0.08,1
5,AT13,Wien,Wien,41513.04347826087,"POLYGON ((4810026.3159 2802881.3099000007, 4780681.6302000005 2803583.5084000006, 4782534.532400001 2811756.030099999, 4796625.635 2819975.155200001, 4805208.368100001 2815402.4612000007, 4810026.3159 2802881.3099000007))",4795457.186381427,2809746.368547971,0.6716621728513108,Non-Significant,0.318,1
6,AT21,Kärnten,Kärnten,27982.608695652172,"POLYGON ((4522751.2612 2668742.613, 4555161.946 2662389.4428000003, 4575782.6570999995 2670627.3467999995, 4599381.102 2665474.6390000004, 4609292.2369 2655196.4551, 4621593.138599999 2655568.1597000007, 4638176.7027 2669701.491699999, 4656329.2292 2663619.7195999995, 4683350.8409 2669927.308599999, 4688942.901799999 2671473.2507000007, 4701916.816299999 2659466.3616000004, 4702156.259299999 2644741.085999999, 4708765.1296999995 2628648.7771000005, 4696211.6099 2623087.5218, 4687023.0636 2610755.9064000007, 4680269.760500001 2604354.046, 4672386.9882 2595156.8956000004, 4661893.2820999995 2602363.9946, 4606152.070499999 2608175.0654000007, 4589828.600299999 2612229.3573000003, 4530306.198799999 2617285.803200001, 4527096.498 2619689.6187999994, 4529855.1293 2627740.1578, 4545432.259400001 2636324.135500001, 4522751.2612 2668742.613))",4621094.21854673,2637143.75635348,0.19712409568368172,Non-Significant,0.077,1
7,AT22,Steiermark,Steiermark,29417.391304347828,"POLYGON ((4760796.640699999 2734593.8402999993, 4780029.485200001 2728347.4551999997, 4786359.1337 2720266.3476, 4776791.9191 2712431.4378999993, 4785713.0998 2673003.2632, 4778298.5133 2654263.0853000004, 4781138.73 2636341.2249999996, 4763403.3181 2638817.9725, 4753009.4882 2637824.3693000004, 4741993.602 2628691.8389999997, 4734492.067299999 2630626.1513, 4708765.1296999995 2628648.7771000005, 4702156.259299999 2644741.085999999, 4701916.816299999 2659466.3616000004, 4688942.901799999 2671473.2507000007, 4683350.8409 2669927.308599999, 4656329.2292 2663619.7195999995, 4638176.7027 2669701.491699999, 4621593.138599999 2655568.1597000007, 4609292.2369 2655196.4551, 4618282.644099999 2678637.6546, 4613598.6281 2689644.6833999995, 4593951.8607 2692168.833799999, 4591350.7381 2713257.0657, 4602466.7202 2715644.0528999995, 4599935.9169 2735190.1634, 4608219.6544 2741685.0856, 4622043.6504999995 2740040.1943999995, 4625551.8412 2736536.5386999995, 4627216.223099999 2732154.6141, 4644437.1395 2731336.400800001, 4656075.525900001 2738295.8729999997, 4672971.800100001 2749487.1165999994, 4676275.6162 2748475.8258999996, 4680014.4482 2746538.018100001, 4702486.772700001 2749484.1655, 4711804.5307 2756071.9159999993, 4723072.4749 2758571.9596999995, 4750867.4233 2744836.3982999995, 4760796.640699999 2734593.8402999993))",4699839.4291932415,2696605.858961072,0.20454593510710545,Non-Significant,0.13,1
8,AT31,Oberösterreich,Oberösterreich,33165.217391304344,"POLYGON ((4666960.763 2841107.5930000003, 4680267.486500001 2833529.7031999994, 4688301.636499999 2819349.191400001, 4689776.2969 2805059.8488999996, 4675427.5437 2796440.8738, 4656732.846899999 2801817.7792000007, 4654776.8215 2787028.4026999995, 4659253.963099999 2774810.9908000007, 4675665.1109 2764056.0321999993, 4676275.6162 2748475.8258999996, 4672971.800100001 2749487.1165999994, 4656075.525900001 2738295.8729999997, 4644437.1395 2731336.400800001, 4627216.223099999 2732154.6141, 4625551.8412 2736536.5386999995, 4622043.6504999995 2740040.1943999995, 4608219.6544 2741685.0856, 4599935.9169 2735190.1634, 4602466.7202 2715644.0528999995, 4591350.7381 2713257.0657, 4586019.3434999995 2715535.7107999995, 4583909.4299 2734408.124500001, 4585223.883099999 2739728.6897, 4567562.6800999995 2754104.7336, 4567548.3138999995 2771539.2345000003, 4558250.4069 2768274.2731, 4544161.352499999 2773820.8451000005, 4534508.8895 2768916.1735999994, 4525936.166999999 2781511.587099999, 4539906.565199999 2792493.4747, 4556759.177300001 2802949.1988999993, 4572402.1347 2812302.7816000003, 4574853.3708 2832082.245100001, 4580163.4092999995 2837016.5943, 4596341.521500001 2829133.7541000005, 4601794.366800001 2840349.2882000003, 4600312.774800001 2851666.636, 4603174.0754 2858273.119000001, 4624277.1894000005 2839622.7402999997, 4641505.738500001 2837187.209899999, 4651663.9683 2845246.5511000007, 4666960.763 2841107.5930000003))",4615984.290774449,2788208.25996465,0.6457469931844108,Significant,0.019,1
9,AT32,Salzburg,Salzburg,38473.913043478264,"POLYGON ((4567548.3138999995 2771539.2345000003, 4567562.6800999995 2754104.7336, 4585223.883099999 2739728.6897, 4583909.4299 2734408.124500001, 4586019.3434999995 2715535.7107999995, 4591350.7381 2713257.0657, 4593951.8607 2692168.833799999, 4613598.6281 2689644.6833999995, 4618282.644099999 2678637.6546, 4609292.2369 2655196.4551, 4599381.102 2665474.6390000004, 4575782.6570999995 2670627.3467999995, 4555161.946 2662389.4428000003, 4522751.2612 2668742.613, 4507900.1439 2674011.7488, 4491314.129799999 2664310.289000001, 4483320.7127 2665352.2216, 4480015.202199999 2685979.1785000004, 4506106.080399999 2694248.4121000003, 4522549.8906 2710770.4014, 4514603.5298 2727668.8101000004, 4516279.3729 2731618.6976999994, 4523482.837200001 2733534.5822, 4541288.105 2714167.146400001, 4550492.988700001 2716598.8374000005, 4552292.8902 2733001.3610999994, 4540793.5769 2739959.0244999994, 4544278.1402 2754397.581599999, 4535816.2831 2765181.807, 4534508.8895 2768916.1735999994, 4544161.352499999 2773820.8451000005, 4558250.4069 2768274.2731, 4567548.3138999995 2771539.2345000003))",4553407.842017793,2702502.8796604155,1.3464973269458917,Significant,0.005,1
