,NUTS_ID,NUTS_NAME,NAME_LATN,GDP_VALUE,geometry,centroid_lon,centroid_lat,centroid_geometry,LISA_VALUE,LISA_sig,LISA_p_values,LISA_quadrant
0,AL01,Veri,Veri,6635.714285714285,"POLYGON ((5129579.17 2204098.7522, 5148385.4728999995 2216598.8893999998, 5165992.5974 2201592.3346999995, 5186560.0099 2184200.1032, 5197756.7107 2164589.9450000003, 5198543.8881 2159651.9035, 5200419.919600001 2147880.021299999, 5198279.4438000005 2144087.0679, 5196828.9519 2130111.2062, 5198696.782299999 2124244.0787000004, 5200292.4789 2119235.7039, 5201644.286499999 2114995.650699999, 5195408.3268 2109825.944700001, 5202717.372099999 2095259.0600000005, 5200756.984200001 2085264.6585000008, 5193162.077299999 2091456.2858000007, 5178238.968 2085653.9049999993, 5148777.300100001 2099959.2781000007, 5145283.2804000005 2092742.1169000007, 5133366.020099999 2087125.6245000008, 5127201.583000001 2086969.6688, 5126493.474300001 2071784.4684999995, 5119478.1247000005 2069006.5493, 5110833.661800001 2079132.8055000007, 5118781.2772 2103409.3906999994, 5118788.1194 2108300.4417000003, 5118794.167199999 2113523.9749999996, 5118803.291300001 2125879.444700001, 5112296.8686999995 2131907.9163000006, 5100056.775800001 2130793.9449000005, 5098531.9059999995 2146315.308700001, 5097477.099300001 2157026.7430000007, 5091154.828 2171569.6834999993, 5101050.230799999 2193020.534600001, 5110618.283500001 2213952.4867000002, 5118871.689200001 2221247.9744000006, 5119326.2574000005 2221650.6213000007, 5119512.2916 2221331.400800001, 5129579.17 2204098.7522))",5147918.319297714,2148187.9813143956,POINT (5147918.319297714 2148187.9813143956),1.9594489498290042,Significant,0.001,3
1,AL02,Qender,Qender,10042.857142857143,"POLYGON ((5148777.300100001 2099959.2781000007, 5178238.968 2085653.9049999993, 5193162.077299999 2091456.2858000007, 5200756.984200001 2085264.6585000008, 5211962.695699999 2061668.541099999, 5211552.4877 2055644.1744, 5198004.159499999 2045397.5788000003, 5202806.013599999 2023843.8851999994, 5191869.641899999 2018060.9715, 5154742.5276 2028889.1999999993, 5152923.2161 2029426.2664, 5135576.149800001 2047205.5122999996, 5116607.961300001 2038729.2128999997, 5119478.1247000005 2069006.5493, 5126493.474300001 2071784.4684999995, 5127201.583000001 2086969.6688, 5133366.020099999 2087125.6245000008, 5145283.2804000005 2092742.1169000007, 5148777.300100001 2099959.2781000007))",5166092.179250333,2059373.925139453,POINT (5166092.179250333 2059373.925139453),1.4663975872999009,Significant,0.001,3
2,AL03,Jug,Jug,7808.333333333333,"POLYGON ((5247352.797800001 2040320.5046999995, 5257241.4647 2015037.9755000006, 5237775.048 1982254.042199999, 5227594.233899999 1950737.2138999999, 5213976.5337000005 1946542.9615000002, 5207131.423900001 1936879.7466000002, 5212814.773399999 1916169.5964000002, 5204901.861400001 1917791.1150000002, 5205929.4684 1908629.0675000008, 5200528.617900001 1900589.7510000002, 5181493.3478999995 1901093.3912000004, 5177346.5962000005 1919197.706700001, 5165730.1533 1934638.2891000006, 5121064.127900001 1962663.2299000006, 5125881.361300001 1976728.5896000005, 5110688.655200001 1998344.0128000006, 5116607.961300001 2038729.2128999997, 5135576.149800001 2047205.5122999996, 5152923.2161 2029426.2664, 5154742.5276 2028889.1999999993, 5191869.641899999 2018060.9715, 5202806.013599999 2023843.8851999994, 5198004.159499999 2045397.5788000003, 5211552.4877 2055644.1744, 5211962.695699999 2061668.541099999, 5218147.243000001 2059945.0701000001, 5225902.491900001 2045625.2804000005, 5234386.400699999 2046491.7477000002, 5247352.797800001 2040320.5046999995))",5183506.850186139,1987413.6277764738,POINT (5183506.850186139 1987413.6277764738),1.5346713503795435,Significant,0.002,3
23,BG31,Северозападен,Severozapaden,7545.454545454545,"POLYGON ((5363358.685799999 2390534.4637, 5395245.6313000005 2400968.3567999993, 5413836.1129 2397732.036699999, 5453726.007200001 2394931.2346, 5470511.1852 2397911.185900001, 5481835.7851 2406211.7369999997, 5496185.8872 2405891.3795999996, 5548282.5320999995 2408758.8222000003, 5542639.216 2403106.742900001, 5543356.259 2391426.8099000007, 5543760.7325 2384778.7651000004, 5549746.2676 2373111.3136, 5544106.4804 2363806.0782999992, 5540881.483999999 2353047.3609999996, 5532908.9603 2351397.7432000004, 5529201.5370000005 2328007.607999999, 5544811.0636 2305139.3845000006, 5544436.088400001 2303884.2685000002, 5524023.3079 2297004.3967000004, 5505349.948899999 2301392.030099999, 5494265.4187 2295306.1997999996, 5476612.0316 2296961.2763, 5471186.570499999 2310434.6218, 5454917.174900001 2323066.4913, 5422875.151799999 2311629.0348000005, 5408314.6017 2325539.7007999998, 5390455.7018 2317197.2555, 5375157.8499 2323275.2777999993, 5351004.2761 2340906.9679000005, 5344289.3862 2341572.718800001, 5330564.470000001 2351507.882200001, 5314029.3958 2379878.855799999, 5314392.8145 2402041.1996, 5322636.3971 2410288.7277000006, 5328203.816199999 2415146.2315999996, 5330611.946599999 2430822.4794999994, 5355670.479599999 2421937.2738000005, 5361155.271 2416522.5649999995, 5352264.385199999 2407471.5001, 5351090.4208 2396045.312000001, 5363358.685799999 2390534.4637))",5439325.222727181,2360682.044746328,POINT (5439325.222727181 2360682.044746328),1.7781130604407025,Significant,0.001,3
24,BG32,Северен централен,Severen tsentralen,8313.04347826087,"POLYGON ((5698952.8346 2443376.1652000006, 5681594.550799999 2442811.8729, 5672153.2236 2419498.647500001, 5666928.593800001 2406717.449100001, 5653305.963400001 2397423.6692999993, 5633224.0386 2409285.406300001, 5621754.8364 2408807.8126999997, 5619004.246300001 2407552.5253999997, 5611174.315400001 2403988.7158000004, 5607571.672900001 2391863.8139999993, 5611592.639599999 2383980.3048, 5619762.531199999 2378944.6816000007, 5622201.768999999 2357385.6348, 5632655.7202 2346889.7424999997, 5623887.132300001 2328948.6689999998, 5614468.721899999 2324462.8648000006, 5610151.462099999 2322114.0863000005, 5592132.368799999 2319357.9878000002, 5544811.0636 2305139.3845000006, 5529201.5370000005 2328007.607999999, 5532908.9603 2351397.7432000004, 5540881.483999999 2353047.3609999996, 5544106.4804 2363806.0782999992, 5549746.2676 2373111.3136, 5543760.7325 2384778.7651000004, 5543356.259 2391426.8099000007, 5542639.216 2403106.742900001, 5548282.5320999995 2408758.8222000003, 5568140.8038 2411494.9099000003, 5577228.5008000005 2418572.3232000005, 5592233.5943 2434876.496099999, 5606154.0594 2456523.3407000005, 5623303.4111 2468347.4583, 5625117.978399999 2468918.4036, 5667050.032299999 2489841.6778999995, 5692416.938200001 2494414.3203999996, 5704520.3551 2485386.0068999995, 5728800.2762 2487225.7224000003, 5699748.4103999995 2456307.2759000007, 5698952.8346 2443376.1652000006))",5613226.42542579,2401827.481406489,POINT (5613226.42542579 2401827.481406489),1.4562224306250384,Significant,0.001,3
25,BG33,Североизточен,Severoiztochen,9665.217391304348,"POLYGON ((5803878.310699999 2477397.2667999994, 5810052.3917 2452898.9015999995, 5805913.386600001 2438861.9339000005, 5782093.296800001 2433813.7279000003, 5773956.4548 2421445.3914, 5767849.9592 2404896.8182999995, 5771739.2168000005 2366169.118899999, 5734883.6678 2363818.8078000005, 5718157.9355999995 2369028.7569999993, 5706379.151699999 2363774.9980999995, 5667040.046499999 2350900.9755000006, 5664569.706800001 2357813.5878999997, 5643198.246099999 2357860.6136000007, 5632655.7202 2346889.7424999997, 5622201.768999999 2357385.6348, 5619762.531199999 2378944.6816000007, 5611592.639599999 2383980.3048, 5607571.672900001 2391863.8139999993, 5611174.315400001 2403988.7158000004, 5619004.246300001 2407552.5253999997, 5621754.8364 2408807.8126999997, 5633224.0386 2409285.406300001, 5653305.963400001 2397423.6692999993, 5666928.593800001 2406717.449100001, 5672153.2236 2419498.647500001, 5681594.550799999 2442811.8729, 5698952.8346 2443376.1652000006, 5699748.4103999995 2456307.2759000007, 5728800.2762 2487225.7224000003, 5746239.8846 2491716.9685999993, 5757050.6129 2477686.3214, 5775403.5429 2473243.4408, 5803878.310699999 2477397.2667999994))",5715638.419491125,2414129.6929127374,POINT (5715638.419491125 2414129.6929127374),1.2525235260596004,Significant,0.001,3
26,BG34,Югоизточен,Yugoiztochen,9495.454545454546,"POLYGON ((5664569.706800001 2357813.5878999997, 5667040.046499999 2350900.9755000006, 5706379.151699999 2363774.9980999995, 5718157.9355999995 2369028.7569999993, 5734883.6678 2363818.8078000005, 5771739.2168000005 2366169.118899999, 5773148.663699999 2353301.6874, 5762740.3007 2344711.3452000003, 5760327.894300001 2339837.0304000005, 5751153.236300001 2321404.0064000003, 5767527.4877 2315041.8571000006, 5804912.6646 2276442.7947000004, 5799302.301100001 2274668.5808000006, 5767353.237500001 2262972.7978000008, 5758984.5429 2265557.752699999, 5752227.682600001 2267654.5118000004, 5741174.0703 2273399.2112000007, 5723794.925799999 2269102.7313, 5719147.333900001 2259931.5405, 5716919.9485 2257473.069700001, 5710780.1064 2254318.4803, 5687246.9263 2242311.344799999, 5684023.6787 2248256.8194999993, 5674950.5284 2265371.5840000007, 5651156.768999999 2266351.4211999997, 5648173.686000001 2245784.9606, 5629047.341499999 2251352.264799999, 5619346.160499999 2243806.8005, 5603222.5911 2252825.309800001, 5584856.9679000005 2241556.979699999, 5562400.3061 2248826.7048000004, 5562772.591 2269401.2225, 5562919.1796 2278062.7094, 5550378.170299999 2282887.7281, 5547626.4944 2292609.015900001, 5544436.088400001 2303884.2685000002, 5544811.0636 2305139.3845000006, 5592132.368799999 2319357.9878000002, 5610151.462099999 2322114.0863000005, 5614468.721899999 2324462.8648000006, 5623887.132300001 2328948.6689999998, 5632655.7202 2346889.7424999997, 5643198.246099999 2357860.6136000007, 5664569.706800001 2357813.5878999997))",5673843.766205918,2301706.7991533685,POINT (5673843.766205918 2301706.7991533685),1.276302947844649,Significant,0.001,3
27,BG41,Югозападен,Yugozapaden,18956.521739130436,"POLYGON ((5375157.8499 2323275.2777999993, 5390455.7018 2317197.2555, 5408314.6017 2325539.7007999998, 5422875.151799999 2311629.0348000005, 5454917.174900001 2323066.4913, 5471186.570499999 2310434.6218, 5476612.0316 2296961.2763, 5494265.4187 2295306.1997999996, 5495050.750700001 2287138.3303999994, 5499526.3148 2283033.6569, 5503062.4783 2279795.5902999993, 5500977.9673 2274347.5636, 5484457.3642 2277905.818, 5463794.6208999995 2268093.8924000002, 5471621.146199999 2251445.0253999997, 5468859.4144 2239428.3597999997, 5459908.8343 2228820.1194, 5455583.566299999 2223712.8592000008, 5460955.672700001 2202564.8933000006, 5463810.924699999 2187268.0011, 5489882.6138 2172765.0299999993, 5491533.976 2156084.1009, 5490198.759099999 2148430.8965000007, 5458423.3883 2133421.0621000007, 5401576.043400001 2119111.646400001, 5401767.5221 2139536.8017999995, 5401780.178200001 2150974.1735999994, 5401199.1895 2156136.3476, 5400298.4487 2164124.8358999994, 5386732.309 2189252.3827, 5384665.1899 2193093.2741, 5353216.907500001 2202689.0275, 5347083.1272 2208875.056500001, 5338319.639799999 2217739.3945000004, 5346122.337300001 2229059.9241000004, 5349770.837400001 2234373.2401, 5341512.684699999 2254393.3121000007, 5340814.5933 2256088.8045000006, 5336280.7314 2275236.1873000003, 5341408.2982 2280944.8636000007, 5359818.047800001 2286468.8461000007, 5375157.8499 2323275.2777999993))",5418186.8380300915,2231928.980131235,POINT (5418186.8380300915 2231928.980131235),0.5044825361807043,Significant,0.001,3
28,BG42,Южен централен,Yuzhen tsentralen,8054.545454545455,"POLYGON ((5544436.088400001 2303884.2685000002, 5547626.4944 2292609.015900001, 5550378.170299999 2282887.7281, 5562919.1796 2278062.7094, 5562772.591 2269401.2225, 5562400.3061 2248826.7048000004, 5584856.9679000005 2241556.979699999, 5603222.5911 2252825.309800001, 5619346.160499999 2243806.8005, 5629047.341499999 2251352.264799999, 5648173.686000001 2245784.9606, 5651156.768999999 2266351.4211999997, 5674950.5284 2265371.5840000007, 5684023.6787 2248256.8194999993, 5687246.9263 2242311.344799999, 5687068.2181 2232217.2323000003, 5674234.7422 2224896.521299999, 5675518.538699999 2215228.6450999994, 5653794.785800001 2210056.3916999996, 5656229.0836 2206123.6371, 5659128.690300001 2201443.4639, 5664253.204399999 2193183.562999999, 5666078.4287 2180576.2157000005, 5663061.1044 2172220.4014, 5650629.5156 2165419.6841, 5647445.114700001 2163286.583799999, 5592371.229800001 2146859.8309000004, 5587712.9121 2151062.0305000003, 5563477.7632 2154274.9310999997, 5554204.395199999 2149956.8691000007, 5528572.7973 2166317.6303000003, 5491533.976 2156084.1009, 5489882.6138 2172765.0299999993, 5463810.924699999 2187268.0011, 5460955.672700001 2202564.8933000006, 5455583.566299999 2223712.8592000008, 5459908.8343 2228820.1194, 5468859.4144 2239428.3597999997, 5471621.146199999 2251445.0253999997, 5463794.6208999995 2268093.8924000002, 5484457.3642 2277905.818, 5500977.9673 2274347.5636, 5503062.4783 2279795.5902999993, 5499526.3148 2283033.6569, 5495050.750700001 2287138.3303999994, 5494265.4187 2295306.1997999996, 5505349.948899999 2301392.030099999, 5524023.3079 2297004.3967000004, 5544436.088400001 2303884.2685000002))",5562729.779704642,2217081.689465419,POINT (5562729.779704642 2217081.689465419),1.603657945314648,Significant,0.001,3
90,EL41,Βόρειο Αιγαίο,Voreio Aigaio,14939.130434782608,"MULTIPOLYGON (((5815758.1249 1793010.451199999, 5804158.1099 1783033.2487000003, 5783988.7633 1786166.3587999996, 5782514.441199999 1787758.5467000008, 5795375.743799999 1799321.0358000007, 5814827.0019000005 1796699.7470999993, 5815758.1249 1793010.451199999)), ((5743359.696799999 1758636.4098000005, 5739863.633400001 1753414.2227999996, 5731556.216 1752057.6401000004, 5737541.357799999 1766195.3861999996, 5750169.7195999995 1769014.6285999995, 5757959.639900001 1777005.0436000004, 5762415.672599999 1774954.0974000003, 5752826.729900001 1762386.0533000007, 5743359.696799999 1758636.4098000005)), ((5733006.2555 1950545.4342, 5753612.654100001 1929801.8691000007, 5748373.493100001 1921134.0895000007, 5717638.216 1920110.0544000007, 5714950.1588 1933831.5013999995, 5705302.936000001 1925252.6599000003, 5688229.177200001 1931324.4418000001, 5690278.4277 1941990.951199999, 5711690.5988 1952606.7968000006, 5712166.2521 1958013.4579000007, 5724858.543199999 1961803.0056999996, 5732721.091600001 1957203.8991, 5733006.2555 1950545.4342)), ((5712613.3905 1871304.6293000001, 5723479.871099999 1866677.9225999992, 5727601.2235 1868674.8502999991, 5727936.9881 1853053.9345999993, 5732134.6164 1841855.1525999997, 5728388.773 1836790.3303999994, 5729189.4037999995 1830074.5281000007, 5722884.6974 1821627.5958999991, 5708227.254799999 1829283.8047000002, 5717246.8158 1842498.6765, 5715972.3434999995 1847422.1158000007, 5699088.330499999 1861497.4649999999, 5700035.2322 1865217.2574000005, 5712613.3905 1871304.6293000001)), ((5681546.625399999 1863759.0275999997, 5681873.139699999 1854661.1860000007, 5674407.4366 1855480.3392999992, 5672680.079500001 1860804.3124000002, 5677069.747099999 1866345.6862000003, 5681546.625399999 1863759.0275999997)), ((5613441.545 2007246.8599999994, 5624986.477299999 2005951.5595999993, 5632811.230699999 2010904.5095000006, 5635112.5491 2008530.7704000007, 5631891 1990183.7260999996, 5620979.595899999 1997622.3880000003, 5617319.534 1986208.4803, 5605482.768200001 1996090.4313999992, 5605693.061899999 2003740.0176, 5613441.545 2007246.8599999994)), ((5614980.652899999 1956136.8527000006, 5608519.487299999 1943821.3756000008, 5605461.045600001 1949777.9324999992, 5608035.490599999 1959680.8751999997, 5614980.652899999 1956136.8527000006)))",5714976.557341952,1896315.2487601247,POINT (5714976.557341952 1896315.2487601247),0.5107648007545044,Significant,0.037,3
